"","id_verg","journaallijn_id","text"
"1",963574,965363,"welke garanties bieden het grup en het project dat de opgerichte constructie en installatie daadwerkelijk zullen worden verwijderd, met het oog op de nabestemming van natuur en de instandhoudingsdoelstellingen, en wie zal voor die kosten instaan? <span style=""font-style:italic;"">(gelach)"
"2",1505867,1509227,"minister, ik dank u voor uw antwoord. ik begrijp heel duidelijk dat er inderdaad protocollen zijn en dat die ook tegen het licht zullen worden gehouden, met de analyse van wat er precies op het terrein is gebeurd. ik denk dat dat een goede zaak is, om te kijken hoe dit in de toekomst moet en kan worden vermeden.ik had naar drie elementen verwezen, ook naar eventuele beheers- of inrichtingsmaatregelen. als je een afspraak kunt maken rond bepaalde schietoefeningen en als je op bepaalde plaatsen zandwegen of dergelijke meer als buffer of als breakmoment kunt inbouwen als er zich een brand zou voordoen, zou dat ook interessant zijn. neemt u die suggestie ook mee? is dat ook een onderdeel van de analyse?ik heb u heel expliciet gevraagd naar hoe u de impact in rekening zult brengen. ik ben ook benieuwd naar hoe u de monitoring gaat doen en hoe u de schade in beeld brengt. u geeft aan dat er mogelijk ook schade zal zijn die niet hersteld kan worden, die permanent zal zijn, en dat heeft natuurlijk ook een belangrijke impact op de doelstellingen. daar zou ik graag wat meer duidelijkheid over hebben."
"3",620257,623694,"ik waardeer de technische vraag &#150; die natuurlijk een politieke ondertoon heeft &#150; van de heer penris. het is ook een juiste vraag. mijnheer penris, ik duid u dat zeker niet ten kwade, maar in feite hebben we de politieke context van die vraag hier al een zestal weken geleden besproken. dat was dan veeleer in samenspel met de minister-president. minister, uit uw antwoord leid ik af dat het niet echt vooruitgaat. vindt u dat u op schema zit met het oosterweeldossier?"
"4",1050969,1052639,"ik gun iedereen zijn pr-moment, maar de vragen van de collegas hier vandaag verbazen mij toch. ten eerste: de regering gaf gisteren het startschot en komt in november met concrete engagementen. voorbeelden van wat de vlaamse overheid zelf doet, collega bothuyne, hebben we gisteren in overvloed vernomen. ten tweede: de bijzondere commissie van ons parlement komt nu pas op kruissnelheid. dus laat de regering en ons parlement voortwerken. laat ons inderdaad tot concrete engagementen komen en laten we die vervolgens ruimhartig uitvoeren. ik hoop dat we op dat moment pr-momenten genoeg zullen hebben om mee aan de slag te gaan."
"5",634998,636240,"voorzitter, in alle eerlijkheid vind ik dat een zeer evenwichtige beslissing is genomen. als het goed is, zeggen we dat ook. de belangrijkste bekommernis die me rest, sluit in feite nauw aan bij wat de heer de loor op het einde van zijn repliek heeft gezegd. we moeten aandachtig naar de kleine muziekclubs, de jeugdhuizen en dergelijke kijken. de organisaties uit de non-profitsfeer interesseren me het meest. we mogen daar geen accidenten veroorzaken. zij zijn onze eerste bondgenoten. de minister kan het best nog eens overleg plegen met de vereniging van vlaamse steden en gemeenten (vvsg) en met de fmiv. de overgang zou kostenneutraal moeten verlopen. de organisaties zouden hun broek niet mogen scheuren. dit zou evenmin ten koste van het muziekleven zelf mogen gebeuren. we zouden het dan ook waarderen indien de minister hier tijdens het overgangsjaar rekening mee zou willen houden."
"6",1588854,1591560,"gevoelig, complex, maar niet te snel gaan, het moet juridisch onderbouwd zijn: ik ben het daar allemaal mee eens, maar wij zijn het natuurlijk niet die hebben gezegd dat er eind december een oplossing zou komen. minister, als ik u bezig hoor, dan is het duidelijk dat er nog heel veel moet gebeuren. de standpunten liggen nog heel ver uit elkaar. ik hoor u zeggen dat water en vuur nog moeten worden verzoend. waar staan we dan met dit dossier? we staan waar we zes maanden geleden stonden. ik denk dat jullie niet begrijpen wat dat bij de mensen teweegbrengt. ik wil u daarover een citaat brengen, over hoe landbouwers zich vandaag voelen en wat er gebeurt in onze landbouwsector. ik citeer een tweet van gisteren van een melkveehouder uit leffinge, west-vlaanderen: &#8220;net opnieuw moeten vernemen dat een collega-boer zich van het leven heeft ontnomen. laat dit alsjeblieft geen constante worden. de druk op de landbouwersgezinnen is op dat vlak, op alle vlakken, onmenselijk zwaar. zeg niet dat de politiek hier ook geen rol in speelt.&#8221;minister, ik vraag u, ik eis van u met aandrang: toon eindelijk eens daadkracht in dat dossier. zorg ervoor dat er zo snel mogelijk een oplossing komt. zorg voor rechtszekerheid voor de landbouwsector in vlaanderen. zorg vooral voor een toekomst voor de landbouwers, maar ook voor hun gezinnen. <span style=""font-style:italic;"">(applaus bij het vlaams belang)"
"7",472283,472534,"ik dank de minister-president voor zijn antwoord en de inspanningen die hij nog zal leveren. ik pleit niet voor een totaalverbod. toch denk ik dat in perioden dat bruinvissen het moeilijk hebben en zich aan onze kust bevinden, het reglement moet worden toegepast. verder moeten we onderzoeken of men niet diervriendelijke netten kan gebruiken die ervoor zorgen dat beschermde zeezoogdieren niet verstikken of levensgevaarlijk worden verwond. ik ben in elk geval benieuwd wat de inspanningen van de minister-president de komende dagen zullen opleveren."
"8",419207,419531,"mijnheer de minister, ik dank u voor uw antwoord en voor uw gedrevenheid om tot een goed map te komen. u krijgt daarvoor onze volle steun.   degenen die stellen dat de ministers van leefmilieu en landbouw gebuisd zijn, moeten in eigen boezem kijken. het is net dat beleid dat gebuisd is. we weten ondertussen dat het uw visie is dat het niet uitmaakt hoe het is, als het maar anders is. laat ons hopen dat dit niet wordt toegepast in de landbouw en dat u op een volwassen manier naar landbouw kunt kijken. een beleid moet verzoening brengen tussen beide partners, veeleer dan haat uit te drukken ten opzichte van de andere. (applaus bij cd&amp;v)<"
"9",483900,484224,"mijnheer martens, wat dat betreft ben ik het grotendeels met u eens.  een ander aspect in dit verhaal is het subsidi&#235;ren. de overheid moet haar rol spelen wat dat betreft door kortstondig financieel bij te springen waar nodig om een bedrijf zijn intrede te laten maken op de markt. het huidige monopolie van electrabel geeft daar veel te weinig aanleiding toe. propere energiebronnen die nauwelijks externe kosten veroorzaken, verdienen wel een steuntje in de rug. aan de andere kant is het niet aan de overheid om vervuilende technologie&#235;n te steunen, zoals onder meer is aangehaald. kernenergie is een vervuilende technologie, zeker op het vlak van het afval. de overheid heeft daar in het verleden ontzettend veel geld in gestopt.  steun is er nu wel omdat de staat bijdraagt in de verzekering van de grote risico's. enkele jaren geleden ging veel meer geld naar onderzoek in de nucleaire sector dan naar de hernieuwbare energie. dat is weer een gevolg van de bevoegdheidsverdeling in dit land. dit soort subsidies aan de sector mag in vraag worden gesteld.   een aantal sprekers hebben het al benadrukt: de energie- en milieusector is een groeisector. in dat licht is het belangrijk geld te reserveren voor onderzoek en ontwikkeling, en zo de commercialisering en de intrede op de energiemarkt van priv&#233;bedrijven grondig mee te steunen. die voortrekkersrol zal op termijn ook economisch renderen. daar is men dus wel van overtuigd. ik verwijs naar de vlaamse instelling voor technologisch onderzoek, afgekort vito, en het milieu- en energietechnologieplatform, dat onder meer als doel heeft kennis te commercialiseren en dus niet enkel ecologisch, maar ook economisch winstgevend te maken. we denken veel te veel dat als iets ecologisch is, het niet winstgevend kan zijn. ecologie mag uiteraard een zekere economische rendabiliteit hebben. wat dat betreft, zitten we hier op de goede weg. mijnheer de minister, wel zou ik graag van u weten hoe het staat met dit platform en welke projecten al levensvatbaar zijn. vlaanderen kent op het gebied van alternatieve energie een aantal voortrekkers.  het energiebeleid in belgi&#235; is erg onduidelijk. dat hebben we ook gemerkt tijdens de commissiebesprekingen. bepaalde elementen zijn geregionaliseerd. mijnheer de minister, u weet dat. we worden daar voortdurend mee geconfronteerd. het nachttarief en de eliaheffing waren daar heel mooie voorbeelden van. andere deelaspecten zijn niet geregionaliseerd. in het verlengde van het vlaamse regeerakkoord pleiten we voor meer transparantie, maar vooral ook voor meer homogene bevoegdheden en - waarom niet - voor een volledige overheveling van het energiebeleid naar vlaanderen. dan gaat het niet alleen over de distributie, maar over het hele proces, vanaf de productie tot de consument.  ik heb er reeds eerder op gewezen. het sck, dat momenteel nog steeds een federale instelling is, kan perfect een fusie aangaan en deskundigheid bundelen met de vito. voor dit engagement, ondertekend door alle meerderheidspartijen, verwijs ik zowel naar het regeerakkoord als naar de resolutie van 2005 naar aanleiding van het debat over de energievoorziening in vlaanderen."
"10",1396424,1398459,"minister, er klopt iets niet in uw uitleg. u komt hier twee minuten geleden zeggen: ja, ik heb me vandaag of gisteren moeten informeren over de vraag of het kan dat een advies van de gewestelijke omgevingsvergunningscommissie wordt herzien. u viel uit de lucht, maar een week geleden hebt u op atv al aangekondigd dat het een voorlopig advies was, zelfs v&#243;&#243;r het publiek was. met andere woorden, u wist al dat het zou worden herzien nog v&#243;&#243;r het publiek werd dat het zou worden herzien. u hebt het zelf aangekondigd, en vandaag komt u hier zeggen dat u zich hebt moeten informeren bij uw kabinet of dit kan. minister, u wist het al, dus er ruikt iets niet goed in dit dossier. wat vooral niet goed ruikt, is dat u onduidelijkheid laat bestaan, niet over het dossier, maar over de kostenbatenanalyse, met name de keuze tussen een zo goedkoop en effici&#235;nt mogelijk project voor de burger, of een duurder dat alleen maar de plaatselijke burgemeester goed uitkomt. u zegt ook daar duidelijk wat uw leidraad in de beslissing zal zijn, zodat we ze daaraan kunnen toetsen. u laat echter in het midden of u het geld van de belastingbetaler gaat versmossen om de plaatselijke burgemeester een plezier te doen en een paar mensen in de haven die die grond willen gebruiken, dan wel of u uw eigen regeerakkoord gaat volgen. ik zou daar toch graag een klaar en duidelijk antwoord op hebben, want in alle eerlijkheid, dit soort chicanerie&#235;n, minister&#8230; uw regering zegt zich aan noordelijke principes te spiegelen, maar dit ruikt veel meer naar napels dan naar kopenhagen."
