text,label_1,label_2,label_3
 (applaus bij open vld),0,1,1
in de raming van het inbo gaat het toch om ongeveer 20,0,0,0
" wat mij wat zorgen baart, is de redenering die vandaag door de raad van state wordt gemaakt",-1,-1,-1
"minister-president, toen ik vanmorgen de morgen las, was ik uiteraard niet zo tevreden",-1,-1,-1
" minister, komt die digitale bouwaanvraag er nog tijdens deze legislatuur? zo ja, wanneer? houdt u bij die digitale bouwaanvraag rekening met de omgevingsvergunning die er zit aan te komen? vandaag zijn bouw- en milieuvergunning nog twee gescheiden werelden",-1,-1,-1
 ik steun u daarin,1,1,1
" ik ben het niet helemaal eens met de analyse van sommigen, die zeggen dat we niets kunnen doen vooraleer die vliegwet er is",0,-1,-1
 vlaanderen doet daarbij blijkbaar toch ook zijn duit in het zakje,0,-1,1
 maar misschien moeten we wel eens beginnen,0,-1,0
"die zou worden gemaakt in het derde klimaatbeleidsplan, dat vanaf 1 januari 2013 in werking had moeten treden",-1,-1,-1
" nederland, frankrijk, duitsland, spanje, itali&euml;, zelfs polen: allemaal willen ze uit dat verdrag stappen",-1,-1,-1
 ik vind dat toch wel zeer vreemd,-1,1,-1
 ik heb vanmorgen een tweet gelezen van een woordvoerder van een liberale minister die schrijft: de raad van state schorst nu een bepaalde vergunning omdat ze vreest dat er later misschien een arrest zal komen tegen een flankerende vergunning,-1,-1,0
   ik weet van iemand die zijn aardappelloof verbrandde en dat feit werd doorgestuurd naar het parket,0,-1,0
" indien mogelijk kan het belgisch verweer het hof sturen naar een meer uitgesplitste berekening van de inbreuken, bijvoorbeeld gebaseerd op het aantal agglomeraties waarvoor de richtlijn werd overtreden of het al bereikte zuiveringspercentage, of een combinatie van beide",0,-1,0
" dus daar waar de neuzen van onze kinderen zijn, is de luchtkwaliteit het slechtst",-1,-1,-1
 mijn concrete vraag is dan ook welke adviezen van de vlaamse industrieraad in de loop van de komende jaren nog tot bijkomend beleid zullen leiden,0,-1,0
 we blijven erop inzetten,1,1,1
"mijnheer de voorzitter, mijnheer de minister, iedereen is het erover eens dat brugge een voetbalstadion nodig heeft",0,1,0
 er moet rekening worden gehouden met de volksgezondheid,1,1,1
"nu doen uitschijnen dat ik zou hebben gezegd: ""hoera, wij doen het fantastisch, er is 8000 hectare bos bij"", dat klopt niet",0,-1,-1
 ik schaf dat af en ga gewoon uit van het geluidsniveau,0,1,0
 het is inderdaad niet zo simpel om dat hier allemaal in één minuut te komen uitleggen,-1,-1,0
het dossier van de luchthaven zit muurvast en dat baart onze fractie ook ongelooflijk veel zorgen,-1,-1,-1
